day,energy_sum,Count,avg_energy
2012-06-19,33800.83399770001,4132,8.180259921999033
2012-06-20,33551.677998899955,4143,8.098401641057194
2012-06-21,35162.316001099985,4152,8.468765896218686
2012-06-22,35414.29500299991,4159,8.515098582111063
2012-06-23,36217.50299789988,4174,8.676929323885933
2012-06-24,37846.33299619997,4174,9.067161714470524
2012-06-25,34827.487002799906,4181,8.329941880602703
2012-06-26,34700.54000039996,4185,8.291646356129023
2012-06-27,34855.236999399945,4190,8.318672314892588
2012-06-28,34369.22899919999,4194,8.194856699856937
2012-06-29,34715.96499740001,4199,8.267674445677546
2012-06-30,34665.436002500086,4209,8.236026610239982
2012-07-01,36807.43500320004,4208,8.747014021673012
2012-07-02,36819.01899540008,4263,8.636879895707267
2012-07-03,35962.1809983,4284,8.394533379621848
2012-07-04,35183.33499770003,4245,8.288182567184931
2012-07-05,35440.09699859995,4348,8.150896273827035
2012-07-06,36672.136997099966,4440,8.259490314662154
2012-07-07,38133.28299930007,4485,8.502404236187306
2012-07-08,40993.846000099955,4485,9.140210925328864
2012-07-09,38882.83899560001,4542,8.56073073439014
2012-07-10,38528.16000000001,4590,8.393934640522879
2012-07-11,38336.78099889984,4637,8.267582704097443
2012-07-12,38837.691998000075,4680,8.298652136324803
2012-07-13,39081.8439939,4715,8.288832236246023
2012-07-14,41040.96600290011,4741,8.65660535813122
2012-07-15,41227.82599619996,4741,8.696018982535321
2012-07-16,40931.02299989999,4740,8.635236919810126
2012-07-17,38876.839001100096,4740,8.201864768164578
2012-07-18,39434.119999799994,4741,8.317679814342965
2012-07-19,38777.925997499864,4738,8.184450400485408
2012-07-20,39321.20700329995,4745,8.286871865816638
2012-07-21,38875.28100410001,4745,8.192893783793469
2012-07-22,39358.84399669996,4745,8.29480379277133
2012-07-23,38195.973001000006,4747,8.046339372445756
2012-07-24,37801.44700119997,4745,7.966585247881976
2012-07-25,38235.36099779989,4746,8.056333964981015
2012-07-26,37831.067004000026,4745,7.972827608851428
2012-07-27,39325.131000399866,4748,8.282462299999972
2012-07-28,38725.869994900015,4747,8.157967136064887
2012-07-29,40950.86999669997,4748,8.624867311857617
2012-07-30,38659.32800390003,4748,8.14223420469672
2012-07-31,39306.09799830007,4754,8.268005468721093
2012-08-01,38601.785999900014,4753,8.121562381632655
2012-08-02,38132.26399789994,4753,8.022778034483473
2012-08-03,38340.67100080003,4761,8.053070993656801
2012-08-04,39104.37999999997,4761,8.213480361268635
2012-08-05,41524.46300349992,4760,8.723626681407547
2012-08-06,39641.11399359999,4761,8.326215919680736
2012-08-07,39387.64500370015,4761,8.27297731646716
2012-08-08,38393.90800229995,4761,8.06425288853181
2012-08-09,38257.36800100007,4761,8.035574039277478
2012-08-10,38216.361999499815,4760,8.028647478886516
2012-08-11,38515.343000699846,4760,8.091458613592405
2012-08-12,40284.043999999914,4760,8.463034453781495
2012-08-13,38776.91499950008,4761,8.144699642827153
2012-08-14,37835.39600469996,4761,7.946943080172224
2012-08-15,38835.961000999945,4761,8.157101659525297
2012-08-16,38162.433997200016,4760,8.017318066638659
2012-08-17,37273.68500159994,4760,7.830606092773096
2012-08-18,38426.497999600004,4759,8.074490018827486
2012-08-19,40343.08399649995,4759,8.477218742698035
2012-08-20,39019.76800229995,4758,8.200875998802006
2012-08-21,38084.77599919991,4761,7.999322831169904
2012-08-22,37644.22899849983,4763,7.903470291517915
2012-08-23,37551.21699649994,4763,7.883942262544602
2012-08-24,37894.85899970001,4763,7.956090489124503
2012-08-25,38976.06399850003,4762,8.184809743490137
2012-08-26,38862.91200480009,4761,8.162762445872735
2012-08-27,39857.36099799988,4761,8.37163642049987
2012-08-28,38584.564998199945,4762,8.102596597690034
2012-08-29,39780.91700210007,4762,8.353825493931136
2012-08-30,40006.75799570002,4761,8.403015752089901
2012-08-31,38872.87900140005,4762,8.16314132746746
2012-09-01,39814.339999699834,4761,8.362600293992823
2012-09-02,43179.73899819989,4762,9.06756383834521
2012-09-03,40107.263996899994,4761,8.424126023293425
2012-09-04,40017.45499910003,4763,8.401733151186233
2012-09-05,39163.377000099936,4765,8.218966841573964
2012-09-06,38736.156001,4762,8.134430071608568
2012-09-07,38543.58299949998,4764,8.090592569164563
2012-09-08,39535.90399620008,4764,8.298888328337549
2012-09-09,41235.71800130005,4764,8.655692275671715
2012-09-10,40854.329998699985,4764,8.57563601987825
2012-09-11,39538.4019957,4765,8.297670932990556
2012-09-12,39809.80599629988,4773,8.340625601571315
2012-09-13,39714.090999800144,4785,8.299705538098253
2012-09-14,40135.3449984999,4801,8.359788585398855
2012-09-15,40631.16800090005,4801,8.463063528619047
2012-09-16,43628.4090024,4802,9.085466264556436
2012-09-17,41696.251001100056,4830,8.632764182422372
2012-09-18,41492.627998999946,4849,8.55694534935037
2012-09-19,41931.90900439989,4860,8.62796481572014
2012-09-20,42472.688004699936,4875,8.712346257374346
2012-09-21,43407.9670005001,4888,8.880516980462378
2012-09-22,44356.396998999975,4888,9.074549304214397
2012-09-23,51676.58999660005,4887,10.57429711409864
2012-09-24,47778.766997700055,4925,9.701272486842651
2012-09-25,45918.51400340004,4935,9.304663425207709
2012-09-26,46739.95900130005,4957,9.429081904639913
2012-09-27,46477.33800270015,4980,9.33279879572292
2012-09-28,46774.49299849995,5005,9.345553046653336
2012-09-29,47435.99400030017,5006,9.475827806692003
2012-09-30,51295.164000700315,5005,10.248784016123938
2012-10-01,48749.44800200002,5030,9.691739165407558
2012-10-02,48191.447995699935,5064,9.516478672136637
2012-10-03,48349.33200499986,5085,9.508226549655822
2012-10-04,48267.845006100055,5102,9.460573305782058
2012-10-05,49591.30400499997,5117,9.691480165135816
2012-10-06,49612.258003899966,5120,9.689894141386713
2012-10-07,52920.69799889987,5121,10.334055457703549
2012-10-08,52836.58600609998,5156,10.247592320810702
2012-10-09,50602.75299569973,5182,9.76510092545344
2012-10-10,50748.09000589997,5194,9.77052175700808
2012-10-11,53093.340997199986,5228,10.15557402394797
2012-10-12,51338.960997400136,5262,9.75654903029269
2012-10-13,53920.44700030015,5261,10.249087055749886
2012-10-14,57357.94199829997,5261,10.90247899606538
2012-10-15,54704.68700300013,5279,10.362698807160472
2012-10-16,53130.432000999936,5297,10.030287332641105
2012-10-17,52864.51699950016,5321,9.93507179092279
2012-10-18,52294.42300009992,5348,9.77831394915855
2012-10-19,55477.22700450008,5378,10.315587022034228
2012-10-20,55518.722002599854,5381,10.317547296524783
2012-10-21,59916.76099660006,5380,11.136944423159862
2012-10-22,56272.9510042999,5415,10.392050046962124
2012-10-23,55764.1839999001,5441,10.248885131391306
2012-10-24,54333.31599700006,5454,9.962104143197665
2012-10-25,56149.17699610007,5483,10.24059401716215
2012-10-26,59891.27699869994,5520,10.849869021503613
2012-10-27,63585.79500089994,5520,11.519165761032598
2012-10-28,67754.17099980006,5520,12.27430634054349
2012-10-29,61800.89399209995,5520,11.195814129003614
2012-10-30,60704.07500299993,5519,10.999107628737077
2012-10-31,60883.983994600065,5519,11.031705742815738
2012-11-01,60684.33199540017,5520,10.993538404963799
2012-11-02,62014.19099990005,5521,11.232420032584686
2012-11-03,64169.94499280012,5521,11.622884439920327
2012-11-04,70969.90799929986,5521,12.854538670403887
2012-11-05,63999.99800379977,5520,11.594202536920248
2012-11-06,64770.130999200075,5524,11.72522284561913
2012-11-07,63221.06299429994,5524,11.444797790423594
2012-11-08,61567.752005200025,5524,11.145501811223756
2012-11-09,61505.60799490009,5527,11.128208430414347
2012-11-10,64243.54800159999,5528,11.621481186975396
2012-11-11,67631.3069926999,5528,12.234317473353817
2012-11-12,64141.56799650023,5529,11.600934707270795
2012-11-13,60187.72200010004,5529,10.885824199692538
2012-11-14,60163.44697890002,5530,10.87946599980109
2012-11-15,61541.99398430009,5530,11.128751172567828
2012-11-16,63476.564999300026,5530,11.478583182513567
2012-11-17,64753.42299890012,5531,11.707362682860264
2012-11-18,68078.84099850008,5531,12.308595371271032
2012-11-19,64182.72999519981,5532,11.602084236297868
2012-11-20,62493.65399420014,5532,11.296755964244422
2012-11-21,63732.53599990017,5532,11.520704266070167
2012-11-22,61949.910007999715,5530,11.202515372151847
2012-11-23,61991.798003000025,5529,11.2121175624887
2012-11-24,68166.33600760002,5529,12.328872491879187
2012-11-25,68559.11200529976,5531,12.395427952504024
2012-11-26,64728.7610007,5530,11.705020072459313
2012-11-27,65697.83499709994,5530,11.880259493146463
2012-11-28,67312.08799409996,5531,12.169967093491223
2012-11-29,67836.37200470023,5531,12.2647571876153
2012-11-30,69158.58999740012,5530,12.506074140578685
2012-12-01,73853.10899669999,5530,13.35499258529837
2012-12-02,77041.95200649987,5528,13.936677280481163
2012-12-03,69720.15600320022,5527,12.614466438067707
2012-12-04,68953.11799620015,5527,12.475686266727003
2012-12-05,71628.0869959,5528,12.95732398623372
2012-12-06,73212.1000088002,5528,13.243867584804669
2012-12-07,72091.93500309998,5528,13.041232815321994
2012-12-08,71969.38899440001,5529,13.016709892277087
2012-12-09,75532.38800319996,5529,13.661130042177602
2012-12-10,70562.99998879991,5527,12.766962183607728
2012-12-11,66277.68499319993,5528,11.989450975615037
2012-12-12,74690.70000640012,5527,13.513786865641418
2012-12-13,75087.08800299981,5528,13.583047757416752
2012-12-14,73666.00399959991,5527,13.328388637524862
2012-12-15,70211.29299969977,5528,12.701029847991999
2012-12-16,71843.37999790018,5528,12.996269898317689
2012-12-17,67179.20799870022,5527,12.154732766184226
2012-12-18,67226.13799840014,5541,12.13249196866994
2012-12-19,69692.55198870024,5530,12.602631462694438
2012-12-20,68839.12499910001,5524,12.461825669641566
2012-12-21,66102.07700160002,5518,11.979354295324397
2012-12-22,69424.75299899996,5517,12.583787021750945
2012-12-23,66963.3499971999,5514,12.144241929125842
2012-12-24,67740.41199570005,5513,12.28739560959551
2012-12-25,70313.10400060008,5515,12.749429555865836
2012-12-26,65515.895998299995,5513,11.883891891583529
2012-12-27,66393.67399819997,5512,12.045296443795351
2012-12-28,65986.9250043998,5513,11.969331580700128
2012-12-29,65438.97299280014,5514,11.867786179325378
2012-12-30,66693.31399249997,5513,12.097463085887895
2012-12-31,66713.63099500012,5512,12.103343794448497
2013-01-01,66377.27200029987,5513,12.04013640491563
2013-01-02,67289.72499990015,5512,12.207860123349084
2013-01-03,63898.40399759998,5512,11.592598693323653
2013-01-04,64007.28399760014,5514,11.608140006819031
2013-01-05,65773.17599519996,5514,11.928396081828065
2013-01-06,69696.78099610012,5511,12.646848302685559
2013-01-07,65406.224000199974,5513,11.863998548920728
2013-01-08,63033.946999200096,5514,11.431618969749746
2013-01-09,63535.94400150016,5515,11.520570081867662
2013-01-10,67694.01099680015,5513,12.278978958244178
2013-01-11,67857.57400299975,5509,12.317584680159694
2013-01-12,73239.36799800006,5507,13.299322316687862
2013-01-13,76551.09299599988,5509,13.895642221092734
2013-01-14,73861.13899570006,5508,13.409792845987665
2013-01-15,72489.81900389968,5507,13.16321391027777
2013-01-16,73586.65598900015,5505,13.367239961671235
2013-01-17,74294.85899650006,5502,13.50324590994185
2013-01-18,78685.9010019998,5503,14.298728148646155
2013-01-19,82402.93899679955,5502,14.976906397091884
2013-01-20,84156.13500150021,5502,15.29555343538717
2013-01-21,76297.17299340012,5501,13.86969150943467
2013-01-22,75620.60299919991,5500,13.749200545309074
2013-01-23,74549.52699320027,5501,13.55199545413566
